#BOX_NAME,CALL_TIME,CRANE_TIME,EXECUTION_TIME,RELOCATIONS,
C16-784-19,28310,28325,28326,0,
C4-232-19,28395,28395,28403,1,
C15-727-19,28399,28402,28403,0,
C9-436-19,28406,28406,28407,0,
C14-670-19,28425,28425,28426,0,
C15-720-19,28429,28434,28438,1,
C9-467-19,28431,28437,28462,4,
C16-769-20,29299,29336,29337,0,
C5-276-20,29360,29399,29400,0,
C11-557-20,29399,29434,29435,0,
C13-623-20,29407,29441,29456,2,
C5-289-20,29428,29469,29477,1,
C19-906-20,29430,29476,29484,1,
C18-840-20,29434,29483,29484,0,
C2-138-20,29436,29483,29501,3,
C19-930-20,29451,29514,29515,0,
C11-528-20,29468,29521,29522,0,
C4-207-20,29480,29521,29522,0,
C19-916-20,29485,29521,29522,0,
C10-500-20,29500,29521,29522,0,
C16-759-20,29560,29565,29566,0,
C16-778-20,29570,29570,29571,0,
C0-2-20,29624,29635,29643,1,
C14-662-20,29630,29642,29643,0,
C19-924-20,29664,29669,29670,0,
C16-745-20,29702,29702,29703,0,
C12-571-20,29732,29732,29747,2,
C18-859-20,29732,29746,29747,0,
C17-786-20,29736,29746,29747,0,
C7-381-20,29743,29753,29761,1,
C18-833-20,29743,29760,29761,0,
C14-679-20,29749,29760,29761,0,
C14-689-20,29755,29760,29761,0,
C18-852-20,29774,29781,29824,6,
C2-128-20,29785,29823,29845,3,
C17-788-20,29790,29844,29845,0,
C17-810-20,29795,29851,29852,0,
C16-772-20,29833,29865,29866,0,
C0-10-20,29835,29865,29873,1,
C8-423-20,29847,29879,29901,3,
C17-790-20,29849,29900,29908,1,
C16-743-20,29865,29907,29908,0,
C12-563-20,29877,29907,29929,3,
C6-325-21,30731,30749,30750,0,
C8-416-21,30784,30784,30785,0,
C19-926-21,30815,30828,30829,0,
C20-953-21,30820,30835,30836,0,
C16-744-21,30855,30863,30864,0,
C20-964-21,30889,30896,30928,5,
C9-449-21,30893,30927,30928,0,
C15-696-21,30918,30934,30935,0,
C12-562-21,30924,30934,30935,0,
C18-858-21,30927,30934,30935,0,
C19-928-21,30937,30937,30938,0,
C0-24-21,30941,30941,30949,1,
C11-523-21,31048,31056,31057,0,
C19-921-21,31119,31119,31141,3,
C18-838-21,31170,31170,31171,0,
C9-435-21,31194,31194,31195,0,
C1-86-21,31201,31201,31202,0,
C17-808-21,31240,31240,31241,0,
C18-856-21,31248,31256,31257,0,
C15-714-21,31249,31256,31257,0,
C19-889-21,31253,31256,31295,6,
C13-621-21,31264,31294,31295,0,
C13-622-21,31267,31294,31295,0,
C3-193-21,31274,31301,31302,0,
C15-736-21,31284,31301,31302,0,
C18-868-21,31289,31301,31302,0,
C20-952-21,31306,31311,31329,3,
C3-149-22,32197,32208,32212,1,
C17-820-22,32197,32211,32212,0,
C19-911-22,32225,32235,32236,0,
C3-184-22,32245,32251,32252,0,
C19-902-22,32249,32251,32265,3,
C6-319-22,32253,32264,32265,0,
C20-967-22,32287,32299,32300,0,
C12-597-22,32356,32356,32364,1,
C19-900-22,32366,32366,32367,0,
C4-251-22,32378,32378,32379,0,
C5-268-22,32433,32437,32438,0,
C3-152-22,32455,32455,32456,0,
C17-805-22,32471,32472,32473,0,
C18-849-22,32505,32517,32521,1,
C15-726-22,32518,32520,32521,0,
C10-482-22,32549,32555,32556,0,
C21-999-22,32551,32555,32556,0,
C15-700-22,32573,32573,32574,0,
C20-958-22,32589,32589,32590,0,
C11-542-22,32609,32616,32617,0,
C13-636-22,32613,32616,32624,1,
C16-774-22,32644,32648,32649,0,
C3-161-22,32654,32654,32669,2,
C16-783-22,32670,32675,32683,1,
C3-197-22,32675,32682,32683,0,
C18-869-22,32676,32682,32683,0,
C19-907-22,32685,32685,32693,1,
C11-540-22,32691,32692,32693,0,
